seconds,data1,data2,data3,data4,data5,data6,data7,data8,data9
0.034,1660.4787493893502,1528.28529555447,1528.28529555447,1528.28529555447,1528.28529555447,1528.28529555447,164.56,107.52,97.85
0.036,1650.8060576453345,1834.5872007816315,1834.5872007816315,1834.5872007816315,1834.5872007816315,1834.5872007816315,164.56,107.52,97.85
0.038,1647.581827063996,1905.5202735710793,1905.5202735710793,1905.5202735710793,1905.5202735710793,1905.5202735710793,164.56,107.52,97.85
0.04,1644.3575964826573,1860.38104543234,1860.38104543234,1860.38104543234,1860.38104543234,1860.38104543234,164.56,107.52,97.85
0.042,1650.8060576453345,1750.7572056668293,1750.7572056668293,1750.7572056668293,1750.7572056668293,1750.7572056668293,164.56,107.52,97.85
0.044,1631.4606741573032,1592.7699071812406,1592.7699071812406,1592.7699071812406,1592.7699071812406,1592.7699071812406,164.56,107.52,97.85
0.046,1631.4606741573032,1457.3522227650217,1457.3522227650217,1457.3522227650217,1457.3522227650217,1457.3522227650217,164.56,107.52,97.85
0.048,1650.8060576453345,1389.6433805569125,1389.6433805569125,1389.6433805569125,1389.6433805569125,1389.6433805569125,164.56,107.52,97.85
0.05,1660.4787493893502,1570.200293111871,1570.200293111871,1570.200293111871,1570.200293111871,1570.200293111871,164.56,107.52,97.85
0.052,1654.030288226673,1911.9687347337563,1911.9687347337563,1911.9687347337563,1911.9687347337563,1911.9687347337563,164.56,107.52,97.85
0.054,1650.8060576453345,1995.7987298485587,1995.7987298485587,1995.7987298485587,1995.7987298485587,1995.7987298485587,164.56,110.45,112.5
0.056,1657.2545188080117,1924.8656570591106,1924.8656570591106,1924.8656570591106,1924.8656570591106,1924.8656570591106,164.56,110.45,112.5
0.058,1641.133365901319,1763.6541279921835,1763.6541279921835,1763.6541279921835,1763.6541279921835,1763.6541279921835,164.56,110.45,112.5
0.06,1631.4606741573032,1689.4968246213969,1689.4968246213969,1689.4968246213969,1689.4968246213969,1689.4968246213969,164.56,110.45,112.5
0.062,1641.133365901319,1496.0429897410843,1496.0429897410843,1496.0429897410843,1496.0429897410843,1496.0429897410843,164.56,110.45,112.5
0.064,1644.3575964826573,1186.5168539325841,1186.5168539325841,1186.5168539325841,1186.5168539325841,1186.5168539325841,164.56,110.45,112.5
0.066,1654.030288226673,1412.2129946262821,1412.2129946262821,1412.2129946262821,1412.2129946262821,1412.2129946262821,164.56,110.45,112.5
0.068,1663.7029799706886,1808.7933561309233,1808.7933561309233,1808.7933561309233,1808.7933561309233,1808.7933561309233,164.56,110.45,112.5
0.07,1647.581827063996,1589.545676599902,1589.545676599902,1589.545676599902,1589.545676599902,1589.545676599902,164.56,110.45,112.5
0.072,1644.3575964826573,1312.2618466047873,1312.2618466047873,1312.2618466047873,1312.2618466047873,1312.2618466047873,164.56,110.45,112.5
0.074,1647.581827063996,1731.411822178798,1731.411822178798,1731.411822178798,1731.411822178798,1731.411822178798,164.56,110.45,112.5
0.076,1631.4606741573032,2173.1314118221785,2173.1314118221785,2173.1314118221785,2173.1314118221785,2173.1314118221785,164.56,110.45,112.5
0.078,1637.9091353199804,2115.095261358085,2115.095261358085,2115.095261358085,2115.095261358085,2115.095261358085,164.56,110.45,112.5
0.08,1654.030288226673,1808.7933561309233,1808.7933561309233,1808.7933561309233,1808.7933561309233,1808.7933561309233,111.91,0.0,0.0
