seconds,data1,data2,data3,data4,data5,data6,data7,data8,data9
0.03,1650.8060576453345,1676.5999022960427,1676.5999022960427,1676.5999022960427,1676.5999022960427,1676.5999022960427,155.74,98.44,94.63
0.032,1647.581827063996,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,155.74,98.44,94.63
0.034,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,155.74,98.44,94.63
0.036,1644.3575964826573,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,155.74,98.44,94.63
0.038,1644.3575964826573,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,155.74,98.44,94.63
0.04,1647.581827063996,1679.8241328773813,1679.8241328773813,1679.8241328773813,1679.8241328773813,1679.8241328773813,155.74,98.44,94.63
0.042,1650.8060576453345,1689.4968246213969,1689.4968246213969,1689.4968246213969,1689.4968246213969,1689.4968246213969,155.74,98.44,94.63
0.044,1650.8060576453345,1686.2725940400583,1686.2725940400583,1686.2725940400583,1686.2725940400583,1686.2725940400583,155.74,98.44,94.63
0.046,1647.581827063996,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,155.74,98.44,94.63
0.048,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,155.74,98.44,94.63
0.05,1647.581827063996,1637.9091353199804,1637.9091353199804,1637.9091353199804,1637.9091353199804,1637.9091353199804,155.74,98.44,94.63
0.052,1647.581827063996,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,155.74,98.44,94.63
0.054,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,0.0,0.0,0.0
0.056,1647.581827063996,1634.6849047386418,1634.6849047386418,1634.6849047386418,1634.6849047386418,1634.6849047386418,0.0,0.0,0.0
0.058,1647.581827063996,1634.6849047386418,1634.6849047386418,1634.6849047386418,1634.6849047386418,1634.6849047386418,0.0,0.0,0.0
0.06,1647.581827063996,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,0.0,0.0,0.0
0.062,1647.581827063996,1657.2545188080117,1657.2545188080117,1657.2545188080117,1657.2545188080117,1657.2545188080117,0.0,0.0,0.0
0.064,1647.581827063996,1670.1514411333656,1670.1514411333656,1670.1514411333656,1670.1514411333656,1670.1514411333656,0.0,0.0,0.0
0.066,1647.581827063996,1695.9452857840743,1695.9452857840743,1695.9452857840743,1695.9452857840743,1695.9452857840743,0.0,0.0,0.0
0.068,1647.581827063996,1715.2906692721056,1715.2906692721056,1715.2906692721056,1715.2906692721056,1715.2906692721056,0.0,0.0,0.0
0.07,1647.581827063996,1789.447972642892,1789.447972642892,1789.447972642892,1789.447972642892,1789.447972642892,0.0,0.0,0.0
0.072,1644.3575964826573,1779.775280898876,1779.775280898876,1779.775280898876,1779.775280898876,1779.775280898876,0.0,0.0,0.0
