0.12;1647.58;1676.6;1676.6;1676.6;1676.6;1676.6;155.29;102.83;104.3
0.13;1647.58;1692.72;1692.72;1692.72;1692.72;1692.72;155.51;103.71;105.32
0.13;1650.81;1683.05;1683.05;1683.05;1683.05;1683.05;155.51;103.71;105.32
0.13;1647.58;1650.81;1650.81;1650.81;1650.81;1650.81;155.51;103.71;105.32
0.13;1650.81;1618.56;1618.56;1618.56;1618.56;1618.56;155.74;104.59;106.35
0.13;1647.58;1615.34;1615.34;1615.34;1615.34;1615.34;155.74;104.59;106.35
0.14;1650.81;1637.91;1637.91;1637.91;1637.91;1637.91;155.74;104.59;106.35
0.14;1650.81;1663.7;1663.7;1663.7;1663.7;1663.7;155.74;104.59;106.35
0.14;1654.03;1689.5;1689.5;1689.5;1689.5;1689.5;155.74;104.59;106.35
0.14;1650.81;1705.62;1705.62;1705.62;1705.62;1705.62;155.74;104.59;106.35
0.14;1647.58;1689.5;1689.5;1689.5;1689.5;1689.5;155.74;104.59;106.35
0.15;1647.58;1676.6;1676.6;1676.6;1676.6;1676.6;155.74;104.59;106.35
0.15;1647.58;1683.05;1683.05;1683.05;1683.05;1683.05;155.74;104.59;106.35
0.15;1647.58;1673.38;1673.38;1673.38;1673.38;1673.38;155.74;104.59;106.35
0.15;1647.58;1654.03;1654.03;1654.03;1654.03;1654.03;155.74;104.59;106.35
0.15;1650.81;1625.01;1625.01;1625.01;1625.01;1625.01;155.74;104.59;106.35
0.16;1647.58;1621.79;1621.79;1621.79;1621.79;1621.79;155.74;104.59;106.35
0.16;1650.81;1695.95;1695.95;1695.95;1695.95;1695.95;156.62;106.35;106.35
0.16;1647.58;1724.96;1724.96;1724.96;1724.96;1724.96;156.62;106.35;106.35
0.16;1647.58;1712.07;1712.07;1712.07;1712.07;1712.07;156.62;106.35;106.35
0.16;1644.36;1657.25;1657.25;1657.25;1657.25;1657.25;156.62;106.35;106.35
0.17;1644.36;1592.77;1592.77;1592.77;1592.77;1592.77;156.62;106.35;106.35
0.17;1650.81;1566.98;1566.98;1566.98;1566.98;1566.98;156.62;106.35;106.35
0.17;1654.03;1550.85;1550.85;1550.85;1550.85;1550.85;156.62;106.35;106.35
0.17;1660.48;1576.65;1576.65;1576.65;1576.65;1576.65;156.62;106.35;106.35
0.17;1654.03;1570.2;1570.2;1570.2;1570.2;1570.2;156.62;106.35;106.35
0.18;1650.81;1576.65;1576.65;1576.65;1576.65;1576.65;156.62;106.35;106.35
0.18;1650.81;1599.22;1599.22;1599.22;1599.22;1599.22;156.62;106.35;106.35
0.18;1650.81;1621.79;1621.79;1621.79;1621.79;1621.79;156.62;106.35;106.35
0.18;1650.81;1670.15;1670.15;1670.15;1670.15;1670.15;156.62;106.35;106.35
0.18;1647.58;1673.38;1673.38;1673.38;1673.38;1673.38;156.18;102.54;100.34
0.19;1647.58;1660.48;1660.48;1660.48;1660.48;1660.48;156.18;102.54;100.34
0.19;1647.58;1683.05;1683.05;1683.05;1683.05;1683.05;156.18;102.54;100.34
0.19;1647.58;1683.05;1683.05;1683.05;1683.05;1683.05;156.18;102.54;100.34
0.19;1647.58;1654.03;1654.03;1654.03;1654.03;1654.03;156.18;102.54;100.34
0.19;1647.58;1647.58;1647.58;1647.58;1647.58;1647.58;156.18;102.54;100.34
0.2;1650.81;1663.7;1663.7;1663.7;1663.7;1663.7;156.18;102.54;100.34
0.2;1650.81;1663.7;1663.7;1663.7;1663.7;1663.7;156.18;102.54;100.34
0.2;1650.81;1650.81;1650.81;1650.81;1650.81;1650.81;156.18;102.54;100.34
0.2;1650.81;1631.46;1631.46;1631.46;1631.46;1631.46;156.18;102.54;100.34
0.2;1647.58;1625.01;1625.01;1625.01;1625.01;1625.01;156.18;102.54;100.34
0.21;1650.81;1641.13;1641.13;1641.13;1641.13;1641.13;156.18;102.54;100.34
0.21;1647.58;1654.03;1654.03;1654.03;1654.03;1654.03;156.18;102.54;100.34
0.21;1650.81;1663.7;1663.7;1663.7;1663.7;1663.7;155.74;98.73;94.34
0.21;1650.81;1654.03;1654.03;1654.03;1654.03;1654.03;155.74;98.73;94.34
0.21;1650.81;1663.7;1663.7;1663.7;1663.7;1663.7;155.74;98.73;94.34
0.22;1650.81;1670.15;1670.15;1670.15;1670.15;1670.15;155.74;98.73;94.34
0.22;1647.58;1676.6;1676.6;1676.6;1676.6;1676.6;155.74;98.73;94.34
0.22;1644.36;1695.95;1695.95;1695.95;1695.95;1695.95;155.74;98.73;94.34
0.22;1647.58;1689.5;1689.5;1689.5;1689.5;1689.5;155.74;98.73;94.34
0.22;1647.58;1676.6;1676.6;1676.6;1676.6;1676.6;155.74;98.73;94.34
0.23;1647.58;1663.7;1663.7;1663.7;1663.7;1663.7;155.74;98.73;94.34
0.23;1647.58;1644.36;1644.36;1644.36;1644.36;1644.36;155.74;98.73;94.34
0.23;1650.81;1631.46;1631.46;1631.46;1631.46;1631.46;155.74;98.73;94.34
0.23;1654.03;1625.01;1625.01;1625.01;1625.01;1625.01;155.74;98.73;94.34
0.23;1650.81;1618.56;1618.56;1618.56;1618.56;1618.56;155.74;98.73;94.34
0.24;1650.81;1625.01;1625.01;1625.01;1625.01;1625.01;154.85;97.56;91.99
0.24;1654.03;1670.15;1670.15;1670.15;1670.15;1670.15;154.85;97.56;91.99
0.24;1654.03;1708.84;1708.84;1708.84;1708.84;1708.84;154.85;97.56;91.99
0.24;1650.81;1715.29;1715.29;1715.29;1715.29;1715.29;154.85;97.56;91.99
0.24;1650.81;1666.93;1666.93;1666.93;1666.93;1666.93;154.85;97.56;91.99
0.25;1647.58;1612.12;1612.12;1612.12;1612.12;1612.12;154.85;97.56;91.99
0.25;1650.81;1586.32;1586.32;1586.32;1586.32;1586.32;154.85;97.56;91.99
0.25;1650.81;1644.36;1644.36;1644.36;1644.36;1644.36;154.85;97.56;91.99
0.25;1650.81;1683.05;1683.05;1683.05;1683.05;1683.05;154.85;97.56;91.99
0.25;1654.03;1644.36;1644.36;1644.36;1644.36;1644.36;154.85;97.56;91.99
0.26;1654.03;1625.01;1625.01;1625.01;1625.01;1625.01;154.85;97.56;91.99
0.26;1654.03;1654.03;1654.03;1654.03;1654.03;1654.03;154.85;97.56;91.99
0.26;1650.81;1728.19;1728.19;1728.19;1728.19;1728.19;154.85;97.56;91.99
0.26;1647.58;1737.86;1737.86;1737.86;1737.86;1737.86;156.18;99.61;94.04
0.26;1647.58;1647.58;1647.58;1647.58;1647.58;1647.58;156.18;99.61;94.04
0.27;1644.36;1544.41;1544.41;1544.41;1544.41;1544.41;156.18;99.61;94.04
0.27;1644.36;1534.73;1534.73;1534.73;1534.73;1534.73;156.18;99.61;94.04
0.27;1654.03;1570.2;1570.2;1570.2;1570.2;1570.2;156.18;99.61;94.04
0.27;1657.25;1589.55;1589.55;1589.55;1589.55;1589.55;156.18;99.61;94.04
0.27;1650.81;1602.44;1602.44;1602.44;1602.44;1602.44;156.18;99.61;94.04
